SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,EQL,EQL_Units,Comments,Lab_Qualifier,UCL,LCL
EM2216763001,"7727-37-9","Total Nitrogen as N",,1.1,mg/L,T,REG,"Total Nitrogen as N (TKN + Nox) By Discrete Analys","EK062G: Total Nitrogen as N (TKN + NOx) by Discrete Analyser",,08-Sep-22,0.1,mg/L,,,,
EM2216763001,"7723-14-0(as P)","Total Phosphorus as P",,0.04,mg/L,T,REG,"Total Phosphorus as P By Discrete Analyser","EK067G: Total Phosphorus as P by Discrete Analyser",,09-Sep-22,0.01,mg/L,,,,
EM2216763001,"TKN","Total Kjeldahl Nitrogen as N",,1.0,mg/L,T,REG,"Total Kjeldahl Nitrogen as N By Discrete Analyser","EK061G: Total Kjeldahl Nitrogen By Discrete Analyser",,09-Sep-22,0.1,mg/L,,,,
EM2216763001,"NO3+NO2 (as N)","Nitrite + Nitrate as N",,0.06,mg/L,T,REG,"Nitrite and Nitrate as N (NOx) by Discrete Analyse","EK059G:  Nitrite plus Nitrate as N (NOx)  by Discrete Analyser",05-Sep-22,06-Sep-22,0.01,mg/L,,,,
EM2216763001,"7664-41-7 (as N)","Ammonia as N",<,0.02,mg/L,T,REG,"Ammonia as N (Saline Water)","EK055G-SW: Ammonia as N by Discrete Analyser in Saline Water",05-Sep-22,07-Sep-22,0.02,mg/L,,,,
EM2216763001,"TDS","Total Dissolved Solids @180°C",,9130,mg/L,T,REG,"Total Dissolved Solids (High Level)","EA015: Total Dissolved Solids dried at 180 ± 5 °C",06-Sep-22,06-Sep-22,10,mg/L,,,,
EM2216763001,"42617-16-3","Chlorophyll a",,5,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763001,"Pheophytina","Pheophytin a",,8,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763001,"Chlorophyllb","Chlorophyll b",<,3,mg/m³,T,REG,"Chlorophyll a, b and c","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,"Reported Analyte LOR is higher than Requested Analyte LOR",,,
EM2216763002,"ALK_HYDROXIDE_CaCO3","Hydroxide Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763002,"ALK_CARBONATE_CaCO3","Carbonate Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763002,"ALK_BICARB_CaCO3","Bicarbonate Alkalinity as CaCO3",,88,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763002,"ALK_CACO3","Total Alkalinity as CaCO3",,88,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763002,"TURBIDITY","Turbidity",,45.9,NTU,T,REG,"Turbidity","EA045: Turbidity",,02-Sep-22,0.1,NTU,,,,
EM2216763002,"DOC","Dissolved Organic Carbon",,12,mg/L,T,REG,"Dissolved Organic Carbon","EP002: Dissolved Organic Carbon (DOC)",,03-Sep-22,1,mg/L,,,,
EM2216763002,"TOC","Total Organic Carbon",,10,mg/L,T,REG,"Total Organic Carbon","EP005: Total Organic Carbon (TOC)",,03-Sep-22,1,mg/L,,,,
EM2216763002,"16887-00-6","Chloride",,4180,mg/L,T,REG,"Chloride by Discrete Analyser","ED045G: Chloride by Discrete Analyser",02-Sep-22,03-Sep-22,1,mg/L,,,,
EM2216763002,"ReactiveSilica","Reactive Silica",,4.12,mg/L,T,REG,"Silica (Reactive) by Discrete Analyser","EG052G: Silica by Discrete Analyser",02-Sep-22,06-Sep-22,0.05,mg/L,,,,
EM2216763002,"14797-65-0(as N)","Nitrite as N",,0.01,mg/L,T,REG,"Nitrite as N by Discrete Analyser","EK057G:  Nitrite as N by Discrete Analyser",02-Sep-22,02-Sep-22,0.01,mg/L,,,,
EM2216763002,"14797-55-8(as N)","Nitrate as N",,0.06,mg/L,T,REG,"Nitrate as N by Discrete Analyser","EK058G:  Nitrate as N by Discrete Analyser",,07-Sep-22,0.01,mg/L,,,,
EM2216763002,"7727-37-9","Total Nitrogen as N",,2.5,mg/L,T,REG,"Total Nitrogen as N (TKN + Nox) By Discrete Analys","EK062G: Total Nitrogen as N (TKN + NOx) by Discrete Analyser",,08-Sep-22,0.1,mg/L,,,,
EM2216763002,"7723-14-0(as P)","Total Phosphorus as P",,0.08,mg/L,T,REG,"Total Phosphorus as P By Discrete Analyser","EK067G: Total Phosphorus as P by Discrete Analyser",,09-Sep-22,0.01,mg/L,,,,
EM2216763002,"TKN","Total Kjeldahl Nitrogen as N",,2.4,mg/L,T,REG,"Total Kjeldahl Nitrogen as N By Discrete Analyser","EK061G: Total Kjeldahl Nitrogen By Discrete Analyser",,09-Sep-22,0.1,mg/L,,,,
EM2216763002,"NO3+NO2 (as N)","Nitrite + Nitrate as N",,0.07,mg/L,T,REG,"Nitrite and Nitrate as N (NOx) by Discrete Analyse","EK059G:  Nitrite plus Nitrate as N (NOx)  by Discrete Analyser",05-Sep-22,06-Sep-22,0.01,mg/L,,,,
EM2216763002,"7664-41-7 (as N)","Ammonia as N",,0.06,mg/L,T,REG,"Ammonia as N (Saline Water)","EK055G-SW: Ammonia as N by Discrete Analyser in Saline Water",05-Sep-22,07-Sep-22,0.02,mg/L,,,,
EM2216763002,"TDS","Total Dissolved Solids @180°C",,7760,mg/L,T,REG,"Total Dissolved Solids (High Level)","EA015: Total Dissolved Solids dried at 180 ± 5 °C",06-Sep-22,06-Sep-22,10,mg/L,,,,
EM2216763002,"42617-16-3","Chlorophyll a",,9,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763002,"Pheophytina","Pheophytin a",,8,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763002,"Chlorophyllb","Chlorophyll b",<,3,mg/m³,T,REG,"Chlorophyll a, b and c","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,"Reported Analyte LOR is higher than Requested Analyte LOR",,,
EM2216763003,"ALK_HYDROXIDE_CaCO3","Hydroxide Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763003,"ALK_CARBONATE_CaCO3","Carbonate Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763003,"ALK_BICARB_CaCO3","Bicarbonate Alkalinity as CaCO3",,171,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763003,"ALK_CACO3","Total Alkalinity as CaCO3",,171,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763003,"TURBIDITY","Turbidity",,8.7,NTU,T,REG,"Turbidity","EA045: Turbidity",,02-Sep-22,0.1,NTU,,,,
EM2216763003,"DOC","Dissolved Organic Carbon",,22,mg/L,T,REG,"Dissolved Organic Carbon","EP002: Dissolved Organic Carbon (DOC)",,03-Sep-22,1,mg/L,,,,
EM2216763003,"TOC","Total Organic Carbon",,24,mg/L,T,REG,"Total Organic Carbon","EP005: Total Organic Carbon (TOC)",,03-Sep-22,1,mg/L,,,,
EM2216763003,"16887-00-6","Chloride",,21100,mg/L,T,REG,"Chloride by Discrete Analyser","ED045G: Chloride by Discrete Analyser",02-Sep-22,03-Sep-22,1,mg/L,,,,
EM2216763003,"ReactiveSilica","Reactive Silica",,0.46,mg/L,T,REG,"Silica (Reactive) by Discrete Analyser","EG052G: Silica by Discrete Analyser",02-Sep-22,06-Sep-22,0.05,mg/L,,,,
EM2216763003,"14797-65-0(as N)","Nitrite as N",<,0.01,mg/L,T,REG,"Nitrite as N by Discrete Analyser","EK057G:  Nitrite as N by Discrete Analyser",02-Sep-22,02-Sep-22,0.01,mg/L,,,,
EM2216763003,"14797-55-8(as N)","Nitrate as N",<,0.01,mg/L,T,REG,"Nitrate as N by Discrete Analyser","EK058G:  Nitrate as N by Discrete Analyser",,07-Sep-22,0.01,mg/L,,,,
EM2216763003,"7727-37-9","Total Nitrogen as N",,3.0,mg/L,T,REG,"Total Nitrogen as N (TKN + Nox) By Discrete Analys","EK062G: Total Nitrogen as N (TKN + NOx) by Discrete Analyser",,08-Sep-22,0.1,mg/L,,,,
EM2216763003,"7723-14-0(as P)","Total Phosphorus as P",<,0.10,mg/L,T,REG,"Total Phosphorus as P By Discrete Analyser","EK067G: Total Phosphorus as P by Discrete Analyser",06-Sep-22,06-Sep-22,0.01,mg/L,"Reported Analyte LOR is higher than Requested Analyte LOR",,,
EM2216763003,"TKN","Total Kjeldahl Nitrogen as N",,3.0,mg/L,T,REG,"Total Kjeldahl Nitrogen as N By Discrete Analyser","EK061G: Total Kjeldahl Nitrogen By Discrete Analyser",06-Sep-22,06-Sep-22,0.1,mg/L,,,,
EM2216763003,"NO3+NO2 (as N)","Nitrite + Nitrate as N",<,0.01,mg/L,T,REG,"Nitrite and Nitrate as N (NOx) by Discrete Analyse","EK059G:  Nitrite plus Nitrate as N (NOx)  by Discrete Analyser",05-Sep-22,06-Sep-22,0.01,mg/L,,,,
EM2216763003,"7664-41-7 (as N)","Ammonia as N",<,0.02,mg/L,T,REG,"Ammonia as N (Saline Water)","EK055G-SW: Ammonia as N by Discrete Analyser in Saline Water",05-Sep-22,07-Sep-22,0.02,mg/L,,,,
EM2216763003,"TDS","Total Dissolved Solids @180°C",,54900,mg/L,T,REG,"Total Dissolved Solids (High Level)","EA015: Total Dissolved Solids dried at 180 ± 5 °C",07-Sep-22,07-Sep-22,10,mg/L,,,,
EM2216763003,"42617-16-3","Chlorophyll a",,5,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763003,"Pheophytina","Pheophytin a",,2,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763003,"Chlorophyllb","Chlorophyll b",<,1,mg/m³,T,REG,"Chlorophyll a, b and c","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763004,"ALK_HYDROXIDE_CaCO3","Hydroxide Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763004,"ALK_CARBONATE_CaCO3","Carbonate Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763004,"ALK_BICARB_CaCO3","Bicarbonate Alkalinity as CaCO3",,186,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763004,"ALK_CACO3","Total Alkalinity as CaCO3",,186,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763004,"TURBIDITY","Turbidity",,11.8,NTU,T,REG,"Turbidity","EA045: Turbidity",,02-Sep-22,0.1,NTU,,,,
EM2216763004,"DOC","Dissolved Organic Carbon",,24,mg/L,T,REG,"Dissolved Organic Carbon","EP002: Dissolved Organic Carbon (DOC)",,03-Sep-22,1,mg/L,,,,
EM2216763004,"TOC","Total Organic Carbon",,28,mg/L,T,REG,"Total Organic Carbon","EP005: Total Organic Carbon (TOC)",,03-Sep-22,1,mg/L,,,,
EM2216763004,"16887-00-6","Chloride",,26200,mg/L,T,REG,"Chloride by Discrete Analyser","ED045G: Chloride by Discrete Analyser",02-Sep-22,03-Sep-22,1,mg/L,,,,
EM2216763004,"ReactiveSilica","Reactive Silica",,0.81,mg/L,T,REG,"Silica (Reactive) by Discrete Analyser","EG052G: Silica by Discrete Analyser",02-Sep-22,06-Sep-22,0.05,mg/L,,,,
EM2216763004,"14797-65-0(as N)","Nitrite as N",<,0.01,mg/L,T,REG,"Nitrite as N by Discrete Analyser","EK057G:  Nitrite as N by Discrete Analyser",02-Sep-22,02-Sep-22,0.01,mg/L,,,,
EM2216763004,"14797-55-8(as N)","Nitrate as N",<,0.01,mg/L,T,REG,"Nitrate as N by Discrete Analyser","EK058G:  Nitrate as N by Discrete Analyser",,07-Sep-22,0.01,mg/L,,,,
EM2216763004,"7727-37-9","Total Nitrogen as N",,3.4,mg/L,T,REG,"Total Nitrogen as N (TKN + Nox) By Discrete Analys","EK062G: Total Nitrogen as N (TKN + NOx) by Discrete Analyser",,08-Sep-22,0.1,mg/L,,,,
EM2216763004,"7723-14-0(as P)","Total Phosphorus as P",<,0.10,mg/L,T,REG,"Total Phosphorus as P By Discrete Analyser","EK067G: Total Phosphorus as P by Discrete Analyser",06-Sep-22,06-Sep-22,0.01,mg/L,"Reported Analyte LOR is higher than Requested Analyte LOR",,,
EM2216763004,"TKN","Total Kjeldahl Nitrogen as N",,3.4,mg/L,T,REG,"Total Kjeldahl Nitrogen as N By Discrete Analyser","EK061G: Total Kjeldahl Nitrogen By Discrete Analyser",06-Sep-22,06-Sep-22,0.1,mg/L,,,,
EM2216763004,"NO3+NO2 (as N)","Nitrite + Nitrate as N",<,0.01,mg/L,T,REG,"Nitrite and Nitrate as N (NOx) by Discrete Analyse","EK059G:  Nitrite plus Nitrate as N (NOx)  by Discrete Analyser",05-Sep-22,06-Sep-22,0.01,mg/L,,,,
EM2216763004,"7664-41-7 (as N)","Ammonia as N",<,0.02,mg/L,T,REG,"Ammonia as N (Saline Water)","EK055G-SW: Ammonia as N by Discrete Analyser in Saline Water",05-Sep-22,07-Sep-22,0.02,mg/L,,,,
EM2216763004,"TDS","Total Dissolved Solids @180°C",,71600,mg/L,T,REG,"Total Dissolved Solids (High Level)","EA015: Total Dissolved Solids dried at 180 ± 5 °C",07-Sep-22,07-Sep-22,10,mg/L,,,,
EM2216763004,"42617-16-3","Chlorophyll a",,8,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763004,"Pheophytina","Pheophytin a",,2,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763004,"Chlorophyllb","Chlorophyll b",<,1,mg/m³,T,REG,"Chlorophyll a, b and c","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763005,"ALK_HYDROXIDE_CaCO3","Hydroxide Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763005,"ALK_CARBONATE_CaCO3","Carbonate Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763005,"ALK_BICARB_CaCO3","Bicarbonate Alkalinity as CaCO3",,189,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763005,"ALK_CACO3","Total Alkalinity as CaCO3",,189,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763005,"TURBIDITY","Turbidity",,11.7,NTU,T,REG,"Turbidity","EA045: Turbidity",,02-Sep-22,0.1,NTU,,,,
EM2216763005,"DOC","Dissolved Organic Carbon",,26,mg/L,T,REG,"Dissolved Organic Carbon","EP002: Dissolved Organic Carbon (DOC)",,03-Sep-22,1,mg/L,,,,
EM2216763005,"TOC","Total Organic Carbon",,30,mg/L,T,REG,"Total Organic Carbon","EP005: Total Organic Carbon (TOC)",,03-Sep-22,1,mg/L,,,,
EM2216763005,"16887-00-6","Chloride",,27200,mg/L,T,REG,"Chloride by Discrete Analyser","ED045G: Chloride by Discrete Analyser",02-Sep-22,03-Sep-22,1,mg/L,,,,
EM2216763005,"ReactiveSilica","Reactive Silica",,0.94,mg/L,T,REG,"Silica (Reactive) by Discrete Analyser","EG052G: Silica by Discrete Analyser",02-Sep-22,06-Sep-22,0.05,mg/L,,,,
EM2216763005,"14797-65-0(as N)","Nitrite as N",<,0.01,mg/L,T,REG,"Nitrite as N by Discrete Analyser","EK057G:  Nitrite as N by Discrete Analyser",02-Sep-22,02-Sep-22,0.01,mg/L,,,,
EM2216763005,"14797-55-8(as N)","Nitrate as N",<,0.01,mg/L,T,REG,"Nitrate as N by Discrete Analyser","EK058G:  Nitrate as N by Discrete Analyser",,07-Sep-22,0.01,mg/L,,,,
EM2216763005,"7727-37-9","Total Nitrogen as N",,4.4,mg/L,T,REG,"Total Nitrogen as N (TKN + Nox) By Discrete Analys","EK062G: Total Nitrogen as N (TKN + NOx) by Discrete Analyser",,08-Sep-22,0.1,mg/L,,,,
EM2216763005,"7723-14-0(as P)","Total Phosphorus as P",,0.12,mg/L,T,REG,"Total Phosphorus as P By Discrete Analyser","EK067G: Total Phosphorus as P by Discrete Analyser",06-Sep-22,06-Sep-22,0.01,mg/L,,,,
EM2216763005,"TKN","Total Kjeldahl Nitrogen as N",,4.4,mg/L,T,REG,"Total Kjeldahl Nitrogen as N By Discrete Analyser","EK061G: Total Kjeldahl Nitrogen By Discrete Analyser",06-Sep-22,06-Sep-22,0.1,mg/L,,,,
EM2216763005,"NO3+NO2 (as N)","Nitrite + Nitrate as N",<,0.01,mg/L,T,REG,"Nitrite and Nitrate as N (NOx) by Discrete Analyse","EK059G:  Nitrite plus Nitrate as N (NOx)  by Discrete Analyser",05-Sep-22,06-Sep-22,0.01,mg/L,,,,
EM2216763005,"7664-41-7 (as N)","Ammonia as N",<,0.02,mg/L,T,REG,"Ammonia as N (Saline Water)","EK055G-SW: Ammonia as N by Discrete Analyser in Saline Water",05-Sep-22,07-Sep-22,0.02,mg/L,,,,
EM2216763005,"TDS","Total Dissolved Solids @180°C",,69400,mg/L,T,REG,"Total Dissolved Solids (High Level)","EA015: Total Dissolved Solids dried at 180 ± 5 °C",07-Sep-22,07-Sep-22,10,mg/L,,,,
EM2216763005,"42617-16-3","Chlorophyll a",,7,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763005,"Pheophytina","Pheophytin a",,3,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763005,"Chlorophyllb","Chlorophyll b",<,1,mg/m³,T,REG,"Chlorophyll a, b and c","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763006,"ALK_HYDROXIDE_CaCO3","Hydroxide Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763006,"ALK_CARBONATE_CaCO3","Carbonate Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763006,"ALK_BICARB_CaCO3","Bicarbonate Alkalinity as CaCO3",,189,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763006,"ALK_CACO3","Total Alkalinity as CaCO3",,189,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763006,"TURBIDITY","Turbidity",,13.7,NTU,T,REG,"Turbidity","EA045: Turbidity",,02-Sep-22,0.1,NTU,,,,
EM2216763006,"DOC","Dissolved Organic Carbon",,28,mg/L,T,REG,"Dissolved Organic Carbon","EP002: Dissolved Organic Carbon (DOC)",,03-Sep-22,1,mg/L,,,,
EM2216763006,"TOC","Total Organic Carbon",,32,mg/L,T,REG,"Total Organic Carbon","EP005: Total Organic Carbon (TOC)",,03-Sep-22,1,mg/L,,,,
EM2216763006,"16887-00-6","Chloride",,28600,mg/L,T,REG,"Chloride by Discrete Analyser","ED045G: Chloride by Discrete Analyser",02-Sep-22,03-Sep-22,1,mg/L,,,,
EM2216763006,"ReactiveSilica","Reactive Silica",,0.98,mg/L,T,REG,"Silica (Reactive) by Discrete Analyser","EG052G: Silica by Discrete Analyser",02-Sep-22,06-Sep-22,0.05,mg/L,,,,
EM2216763006,"14797-65-0(as N)","Nitrite as N",<,0.01,mg/L,T,REG,"Nitrite as N by Discrete Analyser","EK057G:  Nitrite as N by Discrete Analyser",02-Sep-22,02-Sep-22,0.01,mg/L,,,,
EM2216763006,"14797-55-8(as N)","Nitrate as N",<,0.01,mg/L,T,REG,"Nitrate as N by Discrete Analyser","EK058G:  Nitrate as N by Discrete Analyser",,07-Sep-22,0.01,mg/L,,,,
EM2216763006,"7727-37-9","Total Nitrogen as N",,4.3,mg/L,T,REG,"Total Nitrogen as N (TKN + Nox) By Discrete Analys","EK062G: Total Nitrogen as N (TKN + NOx) by Discrete Analyser",,08-Sep-22,0.1,mg/L,,,,
EM2216763006,"7723-14-0(as P)","Total Phosphorus as P",,0.32,mg/L,T,REG,"Total Phosphorus as P By Discrete Analyser","EK067G: Total Phosphorus as P by Discrete Analyser",06-Sep-22,06-Sep-22,0.01,mg/L,,,,
EM2216763006,"TKN","Total Kjeldahl Nitrogen as N",,4.3,mg/L,T,REG,"Total Kjeldahl Nitrogen as N By Discrete Analyser","EK061G: Total Kjeldahl Nitrogen By Discrete Analyser",06-Sep-22,06-Sep-22,0.1,mg/L,,,,
EM2216763006,"NO3+NO2 (as N)","Nitrite + Nitrate as N",<,0.01,mg/L,T,REG,"Nitrite and Nitrate as N (NOx) by Discrete Analyse","EK059G:  Nitrite plus Nitrate as N (NOx)  by Discrete Analyser",05-Sep-22,06-Sep-22,0.01,mg/L,,,,
EM2216763006,"7664-41-7 (as N)","Ammonia as N",<,0.02,mg/L,T,REG,"Ammonia as N (Saline Water)","EK055G-SW: Ammonia as N by Discrete Analyser in Saline Water",05-Sep-22,07-Sep-22,0.02,mg/L,,,,
EM2216763006,"TDS","Total Dissolved Solids @180°C",,81000,mg/L,T,REG,"Total Dissolved Solids (High Level)","EA015: Total Dissolved Solids dried at 180 ± 5 °C",07-Sep-22,07-Sep-22,10,mg/L,,,,
EM2216763006,"42617-16-3","Chlorophyll a",,9,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763006,"Pheophytina","Pheophytin a",,4,mg/m³,T,REG,"Chlorophyll a and Pheophytin a","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763006,"Chlorophyllb","Chlorophyll b",,2,mg/m³,T,REG,"Chlorophyll a, b and c","EP008: Chlorophyll",,06-Sep-22,1,mg/m³,,,,
EM2216763007,"ALK_HYDROXIDE_CaCO3","Hydroxide Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763007,"ALK_CARBONATE_CaCO3","Carbonate Alkalinity as CaCO3",<,1,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763007,"ALK_BICARB_CaCO3","Bicarbonate Alkalinity as CaCO3",,190,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763007,"ALK_CACO3","Total Alkalinity as CaCO3",,190,mg/L,T,REG,"Alkalinity by Auto Titrator","ED037P: Alkalinity by PC Titrator",07-Sep-22,07-Sep-22,1,mg/L,,,,
EM2216763007,"TURBIDITY","Turbidity",,8.6,NTU,T,REG,"Turbidity","EA045: Turbidity",,02-Sep-22,0.1,NTU,,,,
EM2216763007,"DOC","Dissolved Organic Carbon",,27,mg/L,T,REG,"Dissolved Organic Carbon","EP002: Dissolved Organic Carbon (DOC)",,03-Sep-22,1,mg/L,,,,
EM2216763007,"TOC","Total Organic Carbon",,34,mg/L,T,REG,"Total Organic Carbon","EP005: Total Organic Carbon (TOC)",,03-Sep-22,1,mg/L,,,,
