Old Name,Old Units,New Name,New Units,Conv
Dissolved_solids_by_calculation_mg_L,mg/L,WQ_DIAG_TOT_TDS,mg/L,1
Fixed_Solids_mg_L,mg/L,Fixed_solids,mg/L,1
Geosmin_MIB_producing_BGA_Total_cells_mL,/mL,Geosmin_MIB_producing_BGA_Total,/mL,1
Iron_Soluble_mg_L,mg/L,WQ_GEO_FEII,mmol /m^3,55.845
Iron_Total_mg_L,mg/L,WQ_GEO_TFE,mmol /m^3,55.845
Lead_Total_mg_L,mg/L,WQ_GEO_TPB,mmol /m^3,207.2
Mercury_Total_mg_L,mg/L,WQ_GEO_THG,mmol /m^3,200.59
Nickel_Total_mg_L,mg/L,WQ_GEO_TNI,mmol /m^3,58.6934
Nitrate_as_Nitrogen_mg_L,mg/L,WQ_NIT_NIT,mmol/m^3,71.428571
Nitrite_as_Nitrogen_mg_L,mg/L,WQ_NIT_NIT,mmol/m^3,71.428571
Phosphorus_Filterable_Reactive_as_P_mg_L,mg/L,WQ_PHS_FRP,mmol/m^3,32.258065
Sulphate_mg_L,mg/L,WQ_GEO_SO4,mmol /m^3,10.41016032
Suspended_Solids_mg_L,mg/L,WQ_DIAG_TOT_TSS,mg/L,1
TKN_as_Nitrogen_mg_L,mg/L,WQ_DIAG_TOT_TKN,mmol/m^3,71.42857143
Temperature_at_which_pH_is_measured_celsius,C,TEMP,degrees,1
Total_Dissolved_Solids_by_EC_mg_L,mg/L,WQ_DIAG_TOT_TDS,mg/L,1
Zinc_Total_mg_L,mg/L,WQ_GEO_TZN,mmol /m^3,65.38
Total_Nitrogen,mg/L,WQ_DIAG_TOT_TN,mmol/m^3,71.42857143
Total_Hardness_as_CaCO3_mg_L,mg/L,Ignore,Ignore,1
Trifluralin_ug_L,ug/L,Ignore,Ignore,1
Vinclozolin_ug_L,ug/L,Ignore,Ignore,1
Volatile_Suspended_Solids_mg_L,mg/L,Ignore,Ignore,1
Zinc_Soluble_mg_L,mg/L,Ignore,Ignore,1
Distance_Murray_Mouth,,Ignore,Ignore,1
AMPA_ug_L,ug/L,Ignore,Ignore,1
Aldrin_ug_L,ug/L,Ignore,Ignore,1
Aluminium_Soluble_mg_L,mg/L,Ignore,Ignore,1
Antimony_Total_mg_L,mg/L,Ignore,Ignore,1
Arsenic_Inorganic_mg_L,mg/L,Ignore,Ignore,1
Atrazine_ug_L,ug/L,Ignore,Ignore,1
Azinphos_methyl_ug_L,ug/L,Ignore,Ignore,1
Cadmium_Total_mg_L,mg/L,Ignore,Ignore,1
Calcium_mg_L,mg/L,Ignore,Ignore,1
Calcium_Hardness_as_CaCO3_mg_L,mg/L,Ignore,Ignore,1
Carbon_Dioxide_Free_mg_L,mg/L,Ignore,Ignore,1
Carbonate_hardness_as_CaCO3_mg_L,mg/L,Ignore,Ignore,1
Cells_ml_cells_mL,/mL,Ignore,Ignore,1
Chlordane_a_ug_L,ug/L,Ignore,Ignore,1
Chlordane_g_ug_L,ug/L,Ignore,Ignore,1
Chlorothalonil_ug_L,ug/L,Ignore,Ignore,1
Chlorpyrifos_ug_L,ug/L,Ignore,Ignore,1
Chlorthal_Dimethyl_ug_L,ug/L,Ignore,Ignore,1
Chromium_Total_mg_L,mg/L,Ignore,Ignore,1
DDD_ug_L,ug/L,Ignore,Ignore,1
DDE_ug_L,ug/L,Ignore,Ignore,1
DDT_ug_L,ug/L,Ignore,Ignore,1
Diazinon_ug_L,ug/L,Ignore,Ignore,1
Dieldrin_ug_L,ug/L,Ignore,Ignore,1
Endosulfan_ug_L,ug/L,Ignore,Ignore,1
Endosulfan_1_ug_L,ug/L,Ignore,Ignore,1
Endosulfan_2_ug_L,ug/L,Ignore,Ignore,1
Endosulfan_Sulphate_ug_L,ug/L,Ignore,Ignore,1
Endrin_ug_L,ug/L,Ignore,Ignore,1
Fenitrothion_ug_L,ug/L,Ignore,Ignore,1
Glyphosate_ug_L,ug/L,Ignore,Ignore,1
Heptachlor_ug_L,ug/L,Ignore,Ignore,1
Heptachlor_Epoxide_ug_L,ug/L,Ignore,Ignore,1
Hexazinone_ug_L,ug/L,Ignore,Ignore,1
Ion_balance_percent,%,Ignore,Ignore,1
Langelier_Index,,Ignore,Ignore,1
Lindane_ug_L,ug/L,Ignore,Ignore,1
Magnesium_mg_L,mg/L,Ignore,Ignore,1
Magnesium_Hardness_as_CaCO3_mg_L,mg/L,Ignore,Ignore,1
Malathion_ug_L,ug/L,Ignore,Ignore,1
Methoxychlor_ug_L,ug/L,Ignore,Ignore,1
Noncarbonate_hardness_as_CaCO3_mg_L,mg/L,Ignore,Ignore,1
Parathion_ug_L,ug/L,Ignore,Ignore,1
Parathion_methyl_ug_L,ug/L,Ignore,Ignore,1
Phaeophytin_a_ug_L,ug/L,Ignore,Ignore,1
Potassium_mg_L,mg/L,Ignore,Ignore,1
Prometryne_ug_L,ug/L,Ignore,Ignore,1
Selenium_Total_mg_L,mg/L,Ignore,Ignore,1
Silver_Total_mg_L,mg/L,Ignore,Ignore,1
Simazine_ug_L,ug/L,Ignore,Ignore,1
Sodium_mg_L,mg/L,Ignore,Ignore,1
Sodium_Adsorption_Ratio_Calculation,,Ignore,Ignore,1
Sodium_Total_cations_ratio_percent,,Ignore,Ignore,1
