Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone,SAL,TEMP,WQ_CAR_PH,WQ_DIAG_CAR_CH4_DSF,WQ_DIAG_EC25,WQ_DIAG_HAB_BMIi_HSI_IND,WQ_DIAG_NCS_FS001,WQ_DIAG_NCS_FS002,WQ_DIAG_NCS_FS003,WQ_DIAG_NCS_FS004,WQ_DIAG_NCS_FS005,WQ_DIAG_NCS_FS1,WQ_DIAG_NCS_SED_d50,WQ_DIAG_NCS_fs001,WQ_DIAG_NCS_fs002,WQ_DIAG_NCS_fs003,WQ_DIAG_NCS_fs004,WQ_DIAG_NCS_fs005,WQ_DIAG_NCS_fs006,WQ_DIAG_NCS_fs007,WQ_DIAG_NIT_AMM_DSF,WQ_DIAG_NIT_N2O_DSF,WQ_DIAG_NIT_NIT_DSF,WQ_DIAG_OGM_DOC_SWI,WQ_DIAG_OXY_OXY_DSF,WQ_DIAG_PHS_FRP_DSF,WQ_DIAG_PHY_MPB_BEN,WQ_DIAG_SDF_FSED_AMM,WQ_DIAG_SDF_FSED_CH4,WQ_DIAG_SDF_FSED_DOC,WQ_DIAG_SDF_FSED_FRP,WQ_DIAG_SDF_FSED_N2O,WQ_DIAG_SDF_FSED_NIT,WQ_DIAG_SDF_FSED_OXY,WQ_DIAG_SDG_AMM05,WQ_DIAG_SDG_AMM10,WQ_DIAG_SDG_ARPD,WQ_DIAG_SDG_AVS,WQ_DIAG_SDG_CRS,WQ_DIAG_SDG_CRS03,WQ_DIAG_SDG_CRS10,WQ_DIAG_SDG_CRS20,WQ_DIAG_SDG_EC15,WQ_DIAG_SDG_FEII05,WQ_DIAG_SDG_FEII10,WQ_DIAG_SDG_H2S05,WQ_DIAG_SDG_H2S10,WQ_DIAG_SDG_MOISTURE,WQ_DIAG_SDG_Moisture,WQ_DIAG_SDG_OM,WQ_DIAG_SDG_OPD,WQ_DIAG_SDG_PASS,WQ_DIAG_SDG_PASS03,WQ_DIAG_SDG_PASS10,WQ_DIAG_SDG_PASS20,WQ_DIAG_SDG_PH15,WQ_DIAG_SDG_PO405,WQ_DIAG_SDG_PO410,WQ_DIAG_SDG_RAP,WQ_DIAG_SDG_TFE,WQ_DIAG_SDG_TFE03,WQ_DIAG_SDG_TFE10,WQ_DIAG_SDG_TFE20,WQ_DIAG_SDG_TIC,WQ_DIAG_SDG_TN,WQ_DIAG_SDG_TN03,WQ_DIAG_SDG_TN10,WQ_DIAG_SDG_TN20,WQ_DIAG_SDG_TOC,WQ_DIAG_SDG_TOC03,WQ_DIAG_SDG_TOC10,WQ_DIAG_SDG_TOC20,WQ_DIAG_SDG_TP,WQ_DIAG_SDG_TP03,WQ_DIAG_SDG_TP10,WQ_DIAG_SDG_TP20,WQ_DIAG_SDG_pH15,WQ_DIAG_TC,WQ_DIAG_TOT_TURBIDITY,WQ_OXY_OXY,WQ_OXY_SAT
42,107.095,22.1,8.175,0.0395,137456, NaN,0,0.0002,0.0004,0.001,0.0009,0.0088, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,-0.0024, NaN,-52.873, NaN, NaN, NaN, NaN,0.128,-158.3698, NaN,0.0008, NaN,-55.4105, NaN, NaN,0.1,0.0579,0.276, NaN, NaN, NaN,73.195,5.7081,4.2574,63.8413,68.9724,0.784, NaN, NaN, NaN,172.1508, NaN, NaN, NaN,8.5212, NaN, NaN,1.25,11086.1911, NaN, NaN, NaN,2.434,0.7743, NaN, NaN, NaN,4.9676, NaN, NaN, NaN,204.7832, NaN, NaN, NaN, NaN,6.9933,17.15,0.2366,157.9
43,90, NaN,7.0233, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.0002,0.0059,0.0532,0.1181,0.2338,0.5452,0.0417,0.0021, NaN, NaN, NaN, NaN, NaN, NaN,1.0484, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.1, NaN, NaN, NaN, NaN, NaN,38.189, NaN, NaN, NaN, NaN, NaN,21.3645,8.3981, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,2, NaN, NaN, NaN, NaN, NaN,0.32, NaN, NaN, NaN,4.2, NaN, NaN, NaN,302, NaN, NaN, NaN,8.94, NaN, NaN,268.2292,125.1833
51, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
52, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,-17.0406, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,-17.0406,28.7575,39.0952, NaN, NaN, NaN,0.1065,0.1227,0.3915,16.6238,27.1766,15.6701,4.6521,91.4406, NaN, NaN, NaN, NaN, NaN,66.4401,76.5103,244.1665,8.9878,3.1707,6.8412, NaN, NaN,811.8749,843.1148,1714.0694, NaN,1.4,0.0754,0.0692,0.323,0.72,0.8385,0.7778,3.11,0.0156,145.5,121.1667,184, NaN, NaN, NaN, NaN, NaN
53,103,28,7.34, NaN,132350,14282.2852,0,0.0072,0.0074,0.0004,0.0001,0.0025,0.0002,0.0258,0.0627,0.0895,0.2343,0.5158,0.056,0.016,4.1395, NaN,0.07, NaN,-118.1883,0.6273, NaN,4.1395, NaN, NaN,0.6273, NaN,0.07,-118.1883, NaN, NaN,0.1,0.0436,0.1545, NaN, NaN, NaN,20.359, NaN, NaN, NaN, NaN,0.423,31.4046,6.4138,0.5,96.3509, NaN, NaN, NaN,8.76, NaN, NaN,2,5533.2085, NaN, NaN, NaN,1.6745,0.1778, NaN, NaN, NaN,3.5317, NaN, NaN, NaN,2110886.55, NaN, NaN, NaN,8.98,3.1467,27,0.2208,156
61, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,4, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
62,68.8,20.8,8.38, NaN,95449, NaN,0,0.0005,0.0004,0.0012,0.0013,0.0083, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.2,0.0776,0.6438, NaN, NaN, NaN,72.656, NaN, NaN, NaN, NaN,0.7738, NaN, NaN, NaN,401.527, NaN, NaN, NaN,8.25, NaN, NaN,5,23654.3741, NaN, NaN, NaN,0.4073,0.68, NaN, NaN, NaN,5.5527, NaN, NaN, NaN,528, NaN, NaN, NaN, NaN,5.96,8.1,0.1866,97.8
63, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
71, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
72,60.1,20.6,8.65, NaN,85161, NaN,0.0001,0.0082,0.0083,0.0002,0,0.0016, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.1,0.0505,0.1719, NaN, NaN, NaN,17.049, NaN, NaN, NaN, NaN,0.4234, NaN, NaN, NaN,107.2064, NaN, NaN, NaN,8.53, NaN, NaN,5,7424.8465, NaN, NaN, NaN,0.207,0.17, NaN, NaN, NaN,1.263, NaN, NaN, NaN,166, NaN, NaN, NaN, NaN,1.47,12.6,0.1933,95.6
73,47.9656,20.4,7.0822, NaN,84028,131781.085,0,0.0095,0.0096,0.0001,0.0001,0.0004,0.0003, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,4.2983, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.0136, NaN, NaN, NaN,6.0214, NaN, NaN, NaN, NaN,0.2081, NaN,1.0329,3,8.4653, NaN, NaN, NaN,9.02, NaN, NaN,9,908.8177, NaN, NaN, NaN,0.1159,0.0413, NaN, NaN, NaN,0.324, NaN, NaN, NaN,516773.4619, NaN, NaN, NaN, NaN,0.365,17.8,202.2553,125.7
81, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
82,39.76,20.5,8.49, NaN,59222, NaN,0,0.005,0.0049,0,0.0001,0.005, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,4.0333,0.0472,0.6543, NaN, NaN, NaN,20.8483, NaN, NaN, NaN, NaN,0.6482, NaN, NaN, NaN,408.0874, NaN, NaN, NaN,8.37, NaN, NaN,9.6667,17993.8111, NaN, NaN, NaN,1.1465,0.24, NaN, NaN, NaN,1.6735, NaN, NaN, NaN,281, NaN, NaN, NaN, NaN,2.82,7.5,0.2227,97.6
83, NaN, NaN, NaN, NaN, NaN,692390.7825, NaN, NaN, NaN, NaN, NaN, NaN,0.0003, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,3, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.05, NaN, NaN, NaN,0.9433, NaN, NaN, NaN,4634031.823, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
91, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
92, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,2.3333, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,10.3333, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
93, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.0016,0.0309,0.5613,0.3684,0.0355,0.0021,0.0002, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,1.141, NaN, NaN, NaN, NaN, NaN,15.9533,0.07, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.02, NaN, NaN, NaN,0.04, NaN, NaN, NaN,65, NaN, NaN, NaN,9.37, NaN, NaN, NaN, NaN
101, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
102,31.5,19.9,8.3, NaN,48280, NaN,0.0001,0.0089,0.0089,0.0001,0.0001,0.0011, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,5,0.0372,0.139, NaN, NaN, NaN,7.9506, NaN, NaN, NaN, NaN,0.423, NaN, NaN, NaN,86.6866, NaN, NaN, NaN,8.58, NaN, NaN,12,6606.7711, NaN, NaN, NaN,0.4215,0.13, NaN, NaN, NaN,1.0885, NaN, NaN, NaN,215, NaN, NaN, NaN, NaN,1.51,2,0.2077,85.9
103,12.9167, NaN,7.1, NaN, NaN,1022443.591, NaN, NaN, NaN, NaN, NaN, NaN,0.0002,0.1365,0.2747,0.1532,0.1212,0.1939,0.086,0.0345, NaN, NaN, NaN, NaN, NaN, NaN,3.7827, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,13.183, NaN, NaN, NaN, NaN, NaN,47.9608,2.1463,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0.1283, NaN, NaN, NaN,3.915, NaN, NaN, NaN,9432208.977, NaN, NaN, NaN,8.3, NaN, NaN,272.5,118.5667
104, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
