siteCode,siteLatitude,siteLongitude,siteID,siteDate,plantsPresent,siteAccess,Seasonal.Sample::bagNumber,Seasonal.Sample::biomassDW,Seasonal.Sample::seedCountR_megacarpa,Seasonal.Sample::seedCountR_tuberosa,Seasonal.Sample::flowerCountAlthenia,Seasonal.Sample::flowerCountRuppia,Seasonal.Sample::fruitCountRuppia,Seasonal.Sample::shootCount,Seasonal.Sample::turionT2Count,Seasonal.Sample::turionT1Count
,,,,,,,132,0.03222,0,1,0,0,0,16,0,0
,,,,,,,133,0.02814,0,1,0,0,0,34,0,0
,,,,,,,134,0.06932,0,8,0,0,0,52,0,0
,,,,,,,135,0.08419,0,2,0,0,0,14,0,1
,,,,,,,136,0.09034,0,0,0,0,0,79,0,2
,,,,,,,137,0.07702,4,73,0,0,0,31,0,0
,,,,,,,138,0.08055,0,8,0,0,0,34,0,0
,,,,,,,139,0.07351,0,0,0,0,0,44,0,0
,,,,,,,140,0.04419,0,2,0,0,0,14,0,0
,,,,,,,141,0.2942,0,0,0,0,0,9,0,0
A–299,-36.120019,139.636575,1930F901-0114-44C1-A3EA-357A6A38F80B,2020-09-30,1,Ambulatory,299,0.3431,0,9,0,0,0,51,0,0
,,,,,,,297,0.027,1,19,0,0,0,11,0,0
,,,,,,,300,0.016,0,0,0,0,0,6,0,0
,,,,,,,279,0.11425,0,2,0,0,0,15,0,0
,,,,,,,280,0.0953,0,4,0,0,0,53,0,0
,,,,,,,282,0.2041,0,3,0,0,0,39,0,0
,,,,,,,281,0.0083,0,27,0,0,0,3,0,0
,,,,,,,283,0.0644,1,33,0,0,0,70,0,5
,,,,,,,284,0.1324,0,20,0,0,0,23,0,0
,,,,,,,285,0.0169,0,14,0,0,0,10,0,0
,,,,,,,286,0.2396,0,20,0,0,0,46,0,1
,,,,,,,287,0.1083,0,10,0,0,0,27,0,0
,,,,,,,288,0.1505,8,34,0,0,0,65,0,0
,,,,,,,289,0.0186,0,15,0,0,0,11,0,0
,,,,,,,290,0.1516,0,25,0,0,0,37,0,1
A–56,-36.047421,139.551097,51025252-131A-429C-A14C-402358933B9D,2020-10-15,1,Boat,56,,,,,,,,,
,,,,,,,57,,,,,,,,,
,,,,,,,58,,,,,,,,,
,,,,,,,59,,,,,,,,,
,,,,,,,60,,,,,,,,,
,,,,,,,61,,,,,,,,,
,,,,,,,62,,,,,,,,,
,,,,,,,63,,,,,,,,,
,,,,,,,64,,,,,,,,,
,,,,,,,65,,,,,,,,,
,,,,,,,66,,,,,,,,,
,,,,,,,67,,,,,,,,,
,,,,,,,68,,,,,,,,,
,,,,,,,69,,,,,,,,,
,,,,,,,70,,,,,,,,,
A–71,-36.043309,139.550367,C82977BE-932A-4AB3-A7EF-54F800F6F3DA,2020-10-15,1,Boat,71,,,,,,,,,
,,,,,,,72,,,,,,,,,
,,,,,,,73,,,,,,,,,
,,,,,,,74,,,,,,,,,
,,,,,,,75,,,,,,,,,
,,,,,,,76,,,,,,,,,
,,,,,,,77,,,,,,,,,
,,,,,,,78,,,,,,,,,
,,,,,,,79,,,,,,,,,
,,,,,,,80,,,,,,,,,
,,,,,,,81,,,,,,,,,
,,,,,,,82,,,,,,,,,
,,,,,,,83,,,,,,,,,
,,,,,,,84,,,,,,,,,
,,,,,,,85,,,,,,,,,
A–86,-36.035663,139.534415,F9E0F84C-C84D-4067-9B7B-2A12C0D615CC,2020-10-15,1,Boat,86,,,,,,,,,
,,,,,,,87,,,,,,,,,
,,,,,,,88,,,,,,,,,
,,,,,,,89,,,,,,,,,
,,,,,,,90,,,,,,,,,
,,,,,,,91,,,,,,,,,
,,,,,,,92,,,,,,,,,
,,,,,,,93,,,,,,,,,
,,,,,,,94,,,,,,,,,
,,,,,,,95,,,,,,,,,
,,,,,,,96,,,,,,,,,
,,,,,,,97,,,,,,,,,
,,,,,,,98,,,,,,,,,
,,,,,,,99,,,,,,,,,
,,,,,,,100,,,,,,,,,
A–109,-36.018037,139.519284,EC237BEB-2DCE-47B7-9646-043A98AB159C,2020-10-15,1,Boat,109,,,,,,,,,
,,,,,,,216,,,,,,,,,
,,,,,,,217,,,,,,,,,
,,,,,,,218,,,,,,,,,
,,,,,,,219,,,,,,,,,
,,,,,,,220,,,,,,,,,
,,,,,,,230,,,,,,,,,
,,,,,,,231,,,,,,,,,
,,,,,,,232,,,,,,,,,
,,,,,,,233,,,,,,,,,
,,,,,,,234,,,,,,,,,
,,,,,,,235,,,,,,,,,
,,,,,,,236,,,,,,,,,
,,,,,,,237,,,,,,,,,
,,,,,,,238,,,,,,,,,
A–161,-36.075135,139.566863,F88C9ED4-C80D-4B96-9691-6621B4006B8C,2020-10-15,1,Boat,161,,,,,,,,,
,,,,,,,162,,,,,,,,,
,,,,,,,163,,,,,,,,,
,,,,,,,164,,,,,,,,,
,,,,,,,165,,,,,,,,,
,,,,,,,166,,,,,,,,,
,,,,,,,167,,,,,,,,,
,,,,,,,168,,,,,,,,,
,,,,,,,169,,,,,,,,,
,,,,,,,170,,,,,,,,,
,,,,,,,171,,,,,,,,,
,,,,,,,172,,,,,,,,,
,,,,,,,173,,,,,,,,,
,,,,,,,174,,,,,,,,,
,,,,,,,175,,,,,,,,,
A–176,-36.066167,139.555432,D2293549-99FC-458D-98FC-E74A14C76A50,2020-10-15,1,Boat,176,,,,,,,,,
,,,,,,,177,,,,,,,,,
,,,,,,,178,,,,,,,,,
,,,,,,,179,,,,,,,,,
,,,,,,,180,,,,,,,,,
,,,,,,,181,,,,,,,,,
,,,,,,,182,,,,,,,,,
,,,,,,,183,,,,,,,,,
,,,,,,,184,,,,,,,,,
,,,,,,,185,,,,,,,,,
,,,,,,,186,,,,,,,,,
,,,,,,,187,,,,,,,,,
,,,,,,,188,,,,,,,,,
,,,,,,,189,,,,,,,,,
,,,,,,,190,,,,,,,,,
A–191,-36.055743,139.552252,354FDCF1-411F-426D-8455-80D3DE6B6FB2,2020-10-15,1,Boat,191,,,,,,,,,
,,,,,,,192,,,,,,,,,
,,,,,,,193,,,,,,,,,
,,,,,,,194,,,,,,,,,
,,,,,,,195,,,,,,,,,
,,,,,,,196,,,,,,,,,
,,,,,,,197,,,,,,,,,
,,,,,,,198,,,,,,,,,
,,,,,,,199,,,,,,,,,
,,,,,,,200,,,,,,,,,
,,,,,,,51,,,,,,,,,
,,,,,,,52,,,,,,,,,
,,,,,,,53,,,,,,,,,
,,,,,,,54,,,,,,,,,
,,,,,,,55,,,,,,,,,
A–239,-36.007155,139.518149,E03D9A95-F232-4DBB-8CDA-7B34EDB0E524,2020-10-15,1,Boat,239,,,,,,,,,
,,,,,,,240,,,,,,,,,
,,,,,,,241,,,,,,,,,
,,,,,,,242,,,,,,,,,
,,,,,,,243,,,,,,,,,
,,,,,,,244,,,,,,,,,
,,,,,,,245,,,,,,,,,
,,,,,,,246,,,,,,,,,
,,,,,,,247,,,,,,,,,
,,,,,,,248,,,,,,,,,
,,,,,,,249,,,,,,,,,
,,,,,,,250,,,,,,,,,
,,,,,,,1401,,,,,,,,,
,,,,,,,1402,,,,,,,,,
,,,,,,,1403,,,,,,,,,
A–313,-36.103988,139.622471,631C2750-941A-44C6-9C08-D483C0438CBF,2020-10-14,1,Hovercraft,313,,,,,,,,,
,,,,,,,314,,,,,,,,,
,,,,,,,315,,,,,,,,,
,,,,,,,309,,,,,,,,,
,,,,,,,307,,,,,,,,,
,,,,,,,312,,,,,,,,,
,,,,,,,308,,,,,,,,,
,,,,,,,310,,,,,,,,,
,,,,,,,311,,,,,,,,,
,,,,,,,301,,,,,,,,,
,,,,,,,302,,,,,,,,,
,,,,,,,303,,,,,,,,,
,,,,,,,304,,,,,,,,,
,,,,,,,306,,,,,,,,,
,,,,,,,305,,,,,,,,,
A–316,-36.080221,139.569713,F08C4C8B-506B-493D-97EE-144643596614,2020-10-15,0,Boat,316,,,,,,,,,
,,,,,,,317,,,,,,,,,
,,,,,,,318,,,,,,,,,
,,,,,,,319,,,,,,,,,
,,,,,,,320,,,,,,,,,
,,,,,,,151,,,,,,,,,
,,,,,,,152,,,,,,,,,
,,,,,,,153,,,,,,,,,
,,,,,,,154,,,,,,,,,
,,,,,,,155,,,,,,,,,
,,,,,,,156,,,,,,,,,
,,,,,,,157,,,,,,,,,
,,,,,,,158,,,,,,,,,
,,,,,,,159,,,,,,,,,
,,,,,,,160,,,,,,,,,
A–334,-36.106721,139.626323,686A399D-A517-4910-B04E-E9FDD622B5F5,2020-10-14,1,Hovercraft,334,,,,,,,,,
,,,,,,,335,,,,,,,,,
,,,,,,,333,,,,,,,,,
,,,,,,,328,,,,,,,,,
,,,,,,,327,,,,,,,,,
,,,,,,,330,,,,,,,,,
,,,,,,,332,,,,,,,,,
,,,,,,,331,,,,,,,,,
,,,,,,,329,,,,,,,,,
,,,,,,,326,,,,,,,,,
,,,,,,,324,,,,,,,,,
,,,,,,,325,,,,,,,,,
,,,,,,,322,,,,,,,,,
,,,,,,,323,,,,,,,,,
,,,,,,,321,,,,,,,,,
A–350,-36.070794,139.597875,ABAB254F-FF89-4F21-8C10-6086060ED3BB,2020-10-13,1,Ambulatory,350,0.15304,0,3,0,0,0,45,0,0
,,,,,,,349,0.23522,0,11,0,0,0,49,0,0
,,,,,,,348,0.32935,0,0,0,0,0,80,0,0
,,,,,,,347,0.03008,0,2,0,0,0,26,0,0
,,,,,,,346,0.04519,0,3,0,0,0,22,0,0
,,,,,,,345,0.06698,0,0,0,0,0,77,0,2
,,,,,,,344,0.07905,0,1,0,0,0,18,0,0
,,,,,,,343,0.33873,0,1,0,0,0,103,0,0
,,,,,,,342,0.12034,0,0,0,0,0,41,0,0
,,,,,,,341,0.0964,0,2,0,0,0,52,0,1
,,,,,,,340,0.09579,0,4,0,0,0,33,0,0
,,,,,,,339,0.06692,0,3,0,0,0,57,0,0
,,,,,,,338,0.05148,0,0,0,0,0,37,0,1
,,,,,,,337,0.08281,0,0,0,0,0,24,0,0
,,,,,,,336,0.07425,0,3,0,0,0,36,0,0
A–366,-36.079586,139.599699,03D971E3-367A-4D4F-9589-48267B5BF6BD,2020-10-13,1,Ambulatory,366,,,,,,,,,
,,,,,,,364,,,,,,,,,
,,,,,,,368,,,,,,,,,
,,,,,,,367,,,,,,,,,
,,,,,,,369,,,,,,,,,
,,,,,,,370,,,,,,,,,
,,,,,,,371,,,,,,,,,
,,,,,,,372,,,,,,,,,
,,,,,,,373,,,,,,,,,
,,,,,,,374,,,,,,,,,
,,,,,,,375,,,,,,,,,
,,,,,,,376,,,,,,,,,
,,,,,,,377,,,,,,,,,
,,,,,,,378,,,,,,,,,
,,,,,,,379,,,,,,,,,
A–380,-36.079302,139.599024,889EE671-EA70-421D-8241-A059423951C8,2020-10-13,1,Ambulatory,380,,,,,,,,,
,,,,,,,381,,,,,,,,,
,,,,,,,382,,,,,,,,,
,,,,,,,383,,,,,,,,,
,,,,,,,384,,,,,,,,,
,,,,,,,385,,,,,,,,,
,,,,,,,386,,,,,,,,,
,,,,,,,387,,,,,,,,,
,,,,,,,388,,,,,,,,,
,,,,,,,389,,,,,,,,,
,,,,,,,390,,,,,,,,,
,,,,,,,391,,,,,,,,,
,,,,,,,392,,,,,,,,,
,,,,,,,393,,,,,,,,,
,,,,,,,394,,,,,,,,,
A–395,-36.07054,139.598615,45016DE3-36FB-4790-BD4A-CC206EC1ED2D,2020-10-13,1,Ambulatory,395,0.06284,0,7,0,0,0,41,0,0
,,,,,,,396,0.06251,0,6,0,0,0,53,0,0
,,,,,,,397,0.08745,0,6,0,0,0,125,0,0
,,,,,,,398,0.07942,0,2,0,0,0,35,0,0
,,,,,,,399,0.0492,0,4,0,0,0,10,0,0
,,,,,,,400,0.05345,0,2,0,0,0,65,0,0
,,,,,,,1301,0.15238,0,15,0,0,0,57,0,0
,,,,,,,1302,0.13312,0,9,0,0,0,40,0,0
,,,,,,,1303,0.10667,0,2,0,0,0,20,0,0
,,,,,,,1304,0.09923,0,7,0,0,0,29,0,0
,,,,,,,1305,0.05551,0,3,0,0,0,36,0,0
,,,,,,,1306,0.23735,0,0,0,0,0,53,0,0
,,,,,,,1307,0.28858,0,7,0,0,0,78,0,0
,,,,,,,1308,0.07371,0,4,0,0,0,36,0,0
,,,,,,,1309,0.19495,0,5,0,0,0,54,0,0
A–401,-36.144301,139.616714,673A3C02-EADD-47E4-9D85-3D71FC077EB1,2020-10-14,0,Boat,401,,,,,,,,,
,,,,,,,402,,,,,,,,,
,,,,,,,403,,,,,,,,,
,,,,,,,404,,,,,,,,,
,,,,,,,405,,,,,,,,,
,,,,,,,406,,,,,,,,,
,,,,,,,407,,,,,,,,,
,,,,,,,408,,,,,,,,,
,,,,,,,409,,,,,,,,,
,,,,,,,410,,,,,,,,,
,,,,,,,551,,,,,,,,,
,,,,,,,555,,,,,,,,,
,,,,,,,552,,,,,,,,,
,,,,,,,554,,,,,,,,,
,,,,,,,553,,,,,,,,,
A–411,-36.142009,139.616589,9ACDCB5A-953C-4408-BA83-65A20B60CE5F,2020-10-14,1,Boat,411,,,,,,,,,
,,,,,,,412,,,,,,,,,
,,,,,,,413,,,,,,,,,
,,,,,,,414,,,,,,,,,
,,,,,,,415,,,,,,,,,
,,,,,,,416,,,,,,,,,
,,,,,,,417,,,,,,,,,
,,,,,,,418,,,,,,,,,
,,,,,,,419,,,,,,,,,
,,,,,,,420,,,,,,,,,
,,,,,,,421,,,,,,,,,
,,,,,,,422,,,,,,,,,
,,,,,,,423,,,,,,,,,
,,,,,,,424,,,,,,,,,
A–425,-36.132206,139.615901,739AEC2F-3C1D-4AE1-8250-E3DDDFDCC6D3,2020-10-14,0,Boat,425,,,,,,,,,
,,,,,,,1051,,,,,,,,,
,,,,,,,1052,,,,,,,,,
,,,,,,,1053,,,,,,,,,
,,,,,,,1054,,,,,,,,,
,,,,,,,1055,,,,,,,,,
,,,,,,,1056,,,,,,,,,
,,,,,,,1057,,,,,,,,,
,,,,,,,1058,,,,,,,,,
,,,,,,,1059,,,,,,,,,
,,,,,,,1060,,,,,,,,,
,,,,,,,1061,,,,,,,,,
,,,,,,,1062,,,,,,,,,
,,,,,,,1063,,,,,,,,,
,,,,,,,1064,,,,,,,,,
A–430,-36.101057,139.60039,3EE424EA-D185-4D51-A3EC-984093B23C57,2020-10-14,0,Boat,430,,,,,,,,,
,,,,,,,431,,,,,,,,,
,,,,,,,432,,,,,,,,,
,,,,,,,433,,,,,,,,,
,,,,,,,434,,,,,,,,,
,,,,,,,435,,,,,,,,,
,,,,,,,436,,,,,,,,,
,,,,,,,437,,,,,,,,,
,,,,,,,438,,,,,,,,,
,,,,,,,439,,,,,,,,,
,,,,,,,440,,,,,,,,,
,,,,,,,441,,,,,,,,,
,,,,,,,442,,,,,,,,,
,,,,,,,443,,,,,,,,,
,,,,,,,444,,,,,,,,,
A–445,-36.027212,139.528074,E2ACC57F-4637-4D16-9480-A3923E507707,2020-10-15,1,Boat,445,,,,,,,,,
,,,,,,,446,,,,,,,,,
,,,,,,,447,,,,,,,,,
,,,,,,,448,,,,,,,,,
,,,,,,,449,,,,,,,,,
,,,,,,,450,,,,,,,,,
,,,,,,,101,,,,,,,,,
,,,,,,,102,,,,,,,,,
,,,,,,,103,,,,,,,,,
,,,,,,,104,,,,,,,,,
,,,,,,,105,,,,,,,,,
,,,,,,,106,,,,,,,,,
,,,,,,,107,,,,,,,,,
,,,,,,,108,,,,,,,,,
,,,,,,,48,,,,,,,,,
A–462,-35.911279,139.416681,D82406EA-79F5-425C-846A-0D020BFAB4DF,2020-10-14,1,Boat,462,,,,,,,,,
,,,,,,,463,,,,,,,,,
,,,,,,,464,,,,,,,,,
,,,,,,,465,,,,,,,,,
,,,,,,,466,,,,,,,,,
,,,,,,,467,,,,,,,,,
,,,,,,,468,,,,,,,,,
,,,,,,,469,,,,,,,,,
,,,,,,,470,,,,,,,,,
,,,,,,,471,,,,,,,,,
,,,,,,,472,,,,,,,,,
,,,,,,,473,,,,,,,,,
,,,,,,,474,,,,,,,,,
,,,,,,,475,,,,,,,,,
,,,,,,,476,,,,,,,,,
A–477,-35.907437,139.413085,BAD93DCE-1AEF-493A-A1F3-51345F7575A6,2020-10-14,1,Boat,477,,,,,,,,,
,,,,,,,478,,,,,,,,,
,,,,,,,479,,,,,,,,,
,,,,,,,480,,,,,,,,,
,,,,,,,481,,,,,,,,,
,,,,,,,482,,,,,,,,,
,,,,,,,483,,,,,,,,,
,,,,,,,484,,,,,,,,,
,,,,,,,485,,,,,,,,,
,,,,,,,486,,,,,,,,,
,,,,,,,487,,,,,,,,,
,,,,,,,488,,,,,,,,,
,,,,,,,489,,,,,,,,,
,,,,,,,490,,,,,,,,,
,,,,,,,491,,,,,,,,,
A–492,-35.905078,139.408947,CD5815A6-4CB0-49BB-9979-F61DBCB23F47,2020-10-14,1,Boat,492,,,,,,,,,
,,,,,,,493,,,,,,,,,
,,,,,,,494,,,,,,,,,
,,,,,,,495,,,,,,,,,
,,,,,,,496,,,,,,,,,
,,,,,,,497,,,,,,,,,
,,,,,,,498,,,,,,,,,
,,,,,,,499,,,,,,,,,
,,,,,,,500,,,,,,,,,
,,,,,,,901,,,,,,,,,
,,,,,,,902,,,,,,,,,
,,,,,,,903,,,,,,,,,
,,,,,,,904,,,,,,,,,
,,,,,,,905,,,,,,,,,
,,,,,,,906,,,,,,,,,
A–501,-35.904759,139.402799,F3D2DA8F-A655-4F60-BE41-D8D40F385E7C,2020-10-14,0,Boat,501,,,,,,,,,
,,,,,,,502,,,,,,,,,
,,,,,,,503,,,,,,,,,
,,,,,,,504,,,,,,,,,
,,,,,,,505,,,,,,,,,
,,,,,,,506,,,,,,,,,
,,,,,,,507,,,,,,,,,
,,,,,,,508,,,,,,,,,
,,,,,,,509,,,,,,,,,
,,,,,,,510,,,,,,,,,
,,,,,,,511,,,,,,,,,
,,,,,,,512,,,,,,,,,
,,,,,,,513,,,,,,,,,
,,,,,,,514,,,,,,,,,
,,,,,,,515,,,,,,,,,
A–516,-35.907725,139.409686,8A38BD6B-5188-4453-89B1-36E8E0FFC9CD,2020-10-14,1,Boat,516,,,,,,,,,
,,,,,,,517,,,,,,,,,
,,,,,,,518,,,,,,,,,
,,,,,,,519,,,,,,,,,
,,,,,,,520,,,,,,,,,
,,,,,,,521,,,,,,,,,
,,,,,,,522,,,,,,,,,
,,,,,,,523,,,,,,,,,
,,,,,,,524,,,,,,,,,
,,,,,,,525,,,,,,,,,
,,,,,,,526,,,,,,,,,
,,,,,,,527,,,,,,,,,
,,,,,,,528,,,,,,,,,
,,,,,,,529,,,,,,,,,
,,,,,,,530,,,,,,,,,
A–531,-35.911649,139.414204,0F6176EF-5BFC-41E7-B16F-0605D61F5DEA,2020-10-14,1,Boat,531,,,,,,,,,
,,,,,,,532,,,,,,,,,
,,,,,,,533,,,,,,,,,
,,,,,,,534,,,,,,,,,
,,,,,,,536,,,,,,,,,
,,,,,,,537,,,,,,,,,
,,,,,,,538,,,,,,,,,
,,,,,,,539,,,,,,,,,
,,,,,,,540,,,,,,,,,
